,ID,LEAVE
0,0,0
1,1,0
2,2,0
3,3,0
4,4,1
5,5,0
6,6,1
7,7,0
8,8,1
9,9,1
10,10,0
11,11,0
12,12,1
13,13,1
14,14,1
15,15,1
16,16,0
17,17,1
18,18,1
19,19,0
20,20,0
21,21,1
22,22,1
23,23,1
24,24,0
25,25,0
26,26,0
27,27,0
28,28,1
29,29,1
30,30,0
31,31,1
32,32,0
33,33,1
34,34,1
35,35,0
36,36,0
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,0
43,43,1
44,44,0
45,45,0
46,46,1
47,47,0
48,48,0
49,49,0
50,50,0
51,51,1
52,52,0
53,53,0
54,54,0
55,55,1
56,56,0
57,57,1
58,58,0
59,59,0
60,60,0
61,61,1
62,62,0
63,63,0
64,64,0
65,65,0
66,66,0
67,67,0
68,68,1
69,69,0
70,70,0
71,71,0
72,72,1
73,73,0
74,74,0
75,75,0
76,76,1
77,77,0
78,78,0
79,79,0
80,80,0
81,81,0
82,82,0
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,0
95,95,0
96,96,0
97,97,1
98,98,0
99,99,1
100,100,1
101,101,1
102,102,1
103,103,0
104,104,0
105,105,0
106,106,0
107,107,1
108,108,0
109,109,0
110,110,0
111,111,0
112,112,0
113,113,0
114,114,0
115,115,0
116,116,1
117,117,1
118,118,1
119,119,1
120,120,1
121,121,1
122,122,1
123,123,0
124,124,0
125,125,0
126,126,1
127,127,1
128,128,0
129,129,0
130,130,0
131,131,0
132,132,0
133,133,1
134,134,0
135,135,0
136,136,0
137,137,0
138,138,0
139,139,1
140,140,1
141,141,0
142,142,0
143,143,1
144,144,1
145,145,0
146,146,0
147,147,1
148,148,0
149,149,1
150,150,1
151,151,1
152,152,1
153,153,0
154,154,0
155,155,0
156,156,0
157,157,1
158,158,0
159,159,0
160,160,1
161,161,1
162,162,0
163,163,1
164,164,0
165,165,0
166,166,0
167,167,0
168,168,0
169,169,0
170,170,1
171,171,0
172,172,0
173,173,1
174,174,1
175,175,1
176,176,0
177,177,0
178,178,1
179,179,0
180,180,1
181,181,1
182,182,1
183,183,0
184,184,1
185,185,1
186,186,0
187,187,0
188,188,0
189,189,1
190,190,0
191,191,0
192,192,0
193,193,1
194,194,0
195,195,0
196,196,0
197,197,0
198,198,1
199,199,1
200,200,0
201,201,1
202,202,0
203,203,0
204,204,0
205,205,1
206,206,1
207,207,1
208,208,0
209,209,0
210,210,0
211,211,1
212,212,1
213,213,0
214,214,0
215,215,1
216,216,0
217,217,0
218,218,0
219,219,0
220,220,0
221,221,0
222,222,0
223,223,0
224,224,0
225,225,1
226,226,1
227,227,0
228,228,0
229,229,1
230,230,0
231,231,1
232,232,1
233,233,0
234,234,1
235,235,1
236,236,0
237,237,0
238,238,1
239,239,1
240,240,1
241,241,0
242,242,0
243,243,1
244,244,1
245,245,0
246,246,0
247,247,0
248,248,0
249,249,0
250,250,1
251,251,0
252,252,1
253,253,0
254,254,0
255,255,0
256,256,0
257,257,1
258,258,0
259,259,0
260,260,0
261,261,0
262,262,1
263,263,0
264,264,0
265,265,0
266,266,0
267,267,0
268,268,0
269,269,1
270,270,1
271,271,1
272,272,1
273,273,0
274,274,0
275,275,0
276,276,0
277,277,1
278,278,0
279,279,1
280,280,0
281,281,1
282,282,1
283,283,1
284,284,1
285,285,1
286,286,1
287,287,0
288,288,0
289,289,1
290,290,0
291,291,0
292,292,1
293,293,0
294,294,0
295,295,0
296,296,1
297,297,0
298,298,0
299,299,1
300,300,0
301,301,0
302,302,0
303,303,0
304,304,0
305,305,0
306,306,1
307,307,0
308,308,1
309,309,1
310,310,1
311,311,0
312,312,0
313,313,0
314,314,0
315,315,1
316,316,0
317,317,0
318,318,0
319,319,0
320,320,1
321,321,0
322,322,0
323,323,1
324,324,0
325,325,1
326,326,0
327,327,0
328,328,1
329,329,0
330,330,0
331,331,1
332,332,0
333,333,0
334,334,1
335,335,1
336,336,1
337,337,0
338,338,1
339,339,0
340,340,0
341,341,1
342,342,1
343,343,1
344,344,0
345,345,1
346,346,0
347,347,0
348,348,1
349,349,0
350,350,0
351,351,0
352,352,0
353,353,0
354,354,1
355,355,1
356,356,1
357,357,0
358,358,0
359,359,0
360,360,1
361,361,1
362,362,1
363,363,0
364,364,1
365,365,1
366,366,0
367,367,0
368,368,0
369,369,0
370,370,0
371,371,0
372,372,1
373,373,0
374,374,1
375,375,1
376,376,0
377,377,0
378,378,0
379,379,0
380,380,0
381,381,0
382,382,0
383,383,1
384,384,1
385,385,0
386,386,0
387,387,0
388,388,1
389,389,1
390,390,0
391,391,0
392,392,0
393,393,0
394,394,0
395,395,1
396,396,0
397,397,0
398,398,1
399,399,1
400,400,1
401,401,1
402,402,1
403,403,0
404,404,1
405,405,1
406,406,0
407,407,0
408,408,0
409,409,0
410,410,1
411,411,0
412,412,0
413,413,0
414,414,0
415,415,1
416,416,0
417,417,1
418,418,0
419,419,1
420,420,1
421,421,0
422,422,1
423,423,1
424,424,1
425,425,1
426,426,0
427,427,0
428,428,0
429,429,0
430,430,0
431,431,0
432,432,0
433,433,1
434,434,0
435,435,1
436,436,0
437,437,1
438,438,0
439,439,0
440,440,0
441,441,1
442,442,1
443,443,0
444,444,0
445,445,0
446,446,1
447,447,0
448,448,0
449,449,0
450,450,0
451,451,0
452,452,0
453,453,1
454,454,0
455,455,1
456,456,1
457,457,0
458,458,0
459,459,0
460,460,1
461,461,0
462,462,0
463,463,0
464,464,0
465,465,0
466,466,0
467,467,1
468,468,0
469,469,1
470,470,0
471,471,0
472,472,0
473,473,0
474,474,0
475,475,0
476,476,1
477,477,0
478,478,0
479,479,0
480,480,1
481,481,1
482,482,0
483,483,0
484,484,0
485,485,1
486,486,1
487,487,0
488,488,1
489,489,0
490,490,0
491,491,0
492,492,1
493,493,0
494,494,1
495,495,0
496,496,0
497,497,1
498,498,0
499,499,1
500,500,0
501,501,1
502,502,1
503,503,1
504,504,0
505,505,0
506,506,1
507,507,1
508,508,1
509,509,0
510,510,0
511,511,0
512,512,0
513,513,0
514,514,0
515,515,0
516,516,0
517,517,1
518,518,1
519,519,1
520,520,0
521,521,1
522,522,0
523,523,0
524,524,0
525,525,1
526,526,1
527,527,0
528,528,0
529,529,1
530,530,0
531,531,0
532,532,0
533,533,1
534,534,0
535,535,0
536,536,0
537,537,0
538,538,0
539,539,0
540,540,0
541,541,0
542,542,1
543,543,1
544,544,0
545,545,0
546,546,0
547,547,0
548,548,0
549,549,1
550,550,1
551,551,0
552,552,0
553,553,1
554,554,1
555,555,0
556,556,1
557,557,0
558,558,1
559,559,0
560,560,0
561,561,1
562,562,0
563,563,0
564,564,0
565,565,0
566,566,0
567,567,1
568,568,0
569,569,0
570,570,0
571,571,0
572,572,0
573,573,0
574,574,0
575,575,1
576,576,0
577,577,1
578,578,0
579,579,1
580,580,0
581,581,0
582,582,0
583,583,0
584,584,0
585,585,0
586,586,1
587,587,0
588,588,1
589,589,0
590,590,1
591,591,1
592,592,0
593,593,0
594,594,0
595,595,0
596,596,0
597,597,0
598,598,0
599,599,1
600,600,0
601,601,0
602,602,0
603,603,0
604,604,1
605,605,0
606,606,0
607,607,0
608,608,0
609,609,0
610,610,0
611,611,1
612,612,1
613,613,0
614,614,0
615,615,0
616,616,0
617,617,1
618,618,0
619,619,0
620,620,0
621,621,1
622,622,0
623,623,1
624,624,1
625,625,0
626,626,1
627,627,0
628,628,0
629,629,0
630,630,1
631,631,0
632,632,1
633,633,0
634,634,0
635,635,0
636,636,0
637,637,0
638,638,0
